Unnamed: 1,AtliQ,Date,Attendance
Name,Employee Code,1 - Apr,Fri
Thanos Thakur,Atq -406,1 - Apr,P
Jarvis Singh,Atq -462,1 - Apr,P
Nevaeh Waller,Atq -411,1 - Apr,P
Bo Cordova,Atq -398,1 - Apr,P
Mekhi Singleton,Atq -438,1 - Apr,P
Peter Pandey,Atq -366,1 - Apr,P
Loki Lal,Atq -441,1 - Apr,P
Phoenix Brady,Atq -436,1 - Apr,P
Ana Little,Atq -404,1 - Apr,P
Grace Stone,Atq -397,1 - Apr,P
Tori Shannon,Atq -335,1 - Apr,P
Lyric Bartlett,Atq -443,1 - Apr,WFH
Kaylah Schultz,Atq -419,1 - Apr,P
Cason David,Atq -467,1 - Apr,P
Miya Hampton,Atq -450,1 - Apr,P
Sofia Solis,Atq -405,1 - Apr,P
Mckayla Parker,Atq -440,1 - Apr,P
Madelynn Gray,Atq -335,1 - Apr,P
Myla Klein,Atq -343,1 - Apr,P
Boston Morse,Atq -334,1 - Apr,P
April Ayers,Atq -446,1 - Apr,P
Faith Hamilton,Atq -419,1 - Apr,P
Janelle Raymond,Atq -393,1 - Apr,HML
Joel Cruz,Atq -396,1 - Apr,WFH
Iris Woodard,Atq -459,1 - Apr,P
Trystan Ortega,Atq -349,1 - Apr,P
Miles Fields,Atq -438,1 - Apr,P
Rodrigo Price,Atq -423,1 - Apr,P
Ella Roth,Atq -370,1 - Apr,P
Jayce Fuentes,Atq -433,1 - Apr,P
Hailee Fitzpatrick,Atq -375,1 - Apr,P
Rey Novak,Atq -475,1 - Apr,P
Macie Callahan,Atq -368,1 - Apr,P
Xiomara Ruiz,Atq -468,1 - Apr,P
Weston Horton,Atq -348,1 - Apr,P
Dean Mclaughlin,Atq -435,1 - Apr,P
Jonah Hamilton,Atq -331,1 - Apr,HPL
Roman Colon,Atq -426,1 - Apr,HPL
Chris Frye,Atq -405,1 - Apr,WFH
London Kim,Atq -475,1 - Apr,P
Kenley Marsh,Atq -375,1 - Apr,P
Adriel Pace,Atq -456,1 - Apr,P
Jase Ingram,Atq -385,1 - Apr,P
Adyson Moyer,Atq -484,1 - Apr,P
Salvatore Hendrix,Atq -398,1 - Apr,P
Tucker Austin,Atq -412,1 - Apr,P
Cristofer Bernard,Atq -472,1 - Apr,P
Karma Reeves,Atq -396,1 - Apr,P
Esperanza Irwin,Atq -467,1 - Apr,P
Ciara Allison,Atq -428,1 - Apr,P
Demarcus Gordon,Atq -484,1 - Apr,P
Ryann Guerrero,Atq -432,1 - Apr,P
Rylee Mullins,Atq -421,1 - Apr,P
Gregory Carr,Atq -485,1 - Apr,WFH
Ayanna Atkins,Atq -452,1 - Apr,WFH
Briley Orr,Atq -367,1 - Apr,P
Emma Freeman,Atq -393,1 - Apr,P
Will Mahoney,Atq -403,1 - Apr,P
Titus Andersen,Atq -414,1 - Apr,P
Marquis Wyatt,Atq -418,1 - Apr,P
Nick Orozco,Atq -408,1 - Apr,LWP
Gustavo Ritter,Atq -382,1 - Apr,WFH
Isiah Small,Atq -373,1 - Apr,P
Hillary Kirk,Atq -418,1 - Apr,P
Dominique Benjamin,Atq -376,1 - Apr,P
Nehemiah Diaz,Atq -453,1 - Apr,P
Josh Sharp,Atq -461,1 - Apr,
Andrew Cummings,Atq -443,1 - Apr,P
Maximus Mckenzie,Atq -430,1 - Apr,WFH
Konner Henson,Atq -387,1 - Apr,P
Finnegan Gilbert,Atq -385,1 - Apr,P
Caylee Meadows,Atq -455,1 - Apr,P
Jovani Pope,Atq -470,1 - Apr,P
Kaley Fitzpatrick,Atq -374,1 - Apr,P
Greta Horton,Atq -369,1 - Apr,P
Miley Combs,Atq -372,1 - Apr,LWP
Dallas Weeks,Atq -437,1 - Apr,P
Chad Macias,Atq -400,1 - Apr,P
Jessie Carrillo,Atq -458,1 - Apr,P
Name,Employee Code,2 - Apr,Sat
Thanos Thakur,Atq -406,2 - Apr,WO
Jarvis Singh,Atq -462,2 - Apr,WO
Nevaeh Waller,Atq -411,2 - Apr,WO
Bo Cordova,Atq -398,2 - Apr,WO
Mekhi Singleton,Atq -438,2 - Apr,WO
Peter Pandey,Atq -366,2 - Apr,WO
Loki Lal,Atq -441,2 - Apr,WO
Phoenix Brady,Atq -436,2 - Apr,WO
Ana Little,Atq -404,2 - Apr,WO
Grace Stone,Atq -397,2 - Apr,WO
Tori Shannon,Atq -335,2 - Apr,WO
Lyric Bartlett,Atq -443,2 - Apr,WO
Kaylah Schultz,Atq -419,2 - Apr,WO
Cason David,Atq -467,2 - Apr,WO
Miya Hampton,Atq -450,2 - Apr,WO
Sofia Solis,Atq -405,2 - Apr,WO
Mckayla Parker,Atq -440,2 - Apr,WO
Madelynn Gray,Atq -335,2 - Apr,WO
Myla Klein,Atq -343,2 - Apr,WO
Boston Morse,Atq -334,2 - Apr,WO
April Ayers,Atq -446,2 - Apr,WO
Faith Hamilton,Atq -419,2 - Apr,WO
Janelle Raymond,Atq -393,2 - Apr,WO
Joel Cruz,Atq -396,2 - Apr,WO
Iris Woodard,Atq -459,2 - Apr,WO
Trystan Ortega,Atq -349,2 - Apr,WO
Miles Fields,Atq -438,2 - Apr,WO
Rodrigo Price,Atq -423,2 - Apr,WO
Ella Roth,Atq -370,2 - Apr,WO
Jayce Fuentes,Atq -433,2 - Apr,WO
Hailee Fitzpatrick,Atq -375,2 - Apr,WO
Rey Novak,Atq -475,2 - Apr,WO
Macie Callahan,Atq -368,2 - Apr,WO
Xiomara Ruiz,Atq -468,2 - Apr,WO
Weston Horton,Atq -348,2 - Apr,WO
Dean Mclaughlin,Atq -435,2 - Apr,WO
Jonah Hamilton,Atq -331,2 - Apr,WO
Roman Colon,Atq -426,2 - Apr,WO
Chris Frye,Atq -405,2 - Apr,WO
London Kim,Atq -475,2 - Apr,WO
Kenley Marsh,Atq -375,2 - Apr,WO
Adriel Pace,Atq -456,2 - Apr,WO
Jase Ingram,Atq -385,2 - Apr,WO
Adyson Moyer,Atq -484,2 - Apr,WO
Salvatore Hendrix,Atq -398,2 - Apr,WO
Tucker Austin,Atq -412,2 - Apr,WO
Cristofer Bernard,Atq -472,2 - Apr,WO
Karma Reeves,Atq -396,2 - Apr,WO
Esperanza Irwin,Atq -467,2 - Apr,WO
Ciara Allison,Atq -428,2 - Apr,WO
Demarcus Gordon,Atq -484,2 - Apr,WO
Ryann Guerrero,Atq -432,2 - Apr,WO
Rylee Mullins,Atq -421,2 - Apr,WO
Gregory Carr,Atq -485,2 - Apr,WO
Ayanna Atkins,Atq -452,2 - Apr,WO
Briley Orr,Atq -367,2 - Apr,WO
Emma Freeman,Atq -393,2 - Apr,WO
Will Mahoney,Atq -403,2 - Apr,WO
Titus Andersen,Atq -414,2 - Apr,WO
Marquis Wyatt,Atq -418,2 - Apr,WO
Nick Orozco,Atq -408,2 - Apr,WO
Gustavo Ritter,Atq -382,2 - Apr,WO
Isiah Small,Atq -373,2 - Apr,WO
Hillary Kirk,Atq -418,2 - Apr,WO
Dominique Benjamin,Atq -376,2 - Apr,WO
Nehemiah Diaz,Atq -453,2 - Apr,WO
Josh Sharp,Atq -461,2 - Apr,WO
Andrew Cummings,Atq -443,2 - Apr,WO
Maximus Mckenzie,Atq -430,2 - Apr,WO
Konner Henson,Atq -387,2 - Apr,WO
Finnegan Gilbert,Atq -385,2 - Apr,WO
Caylee Meadows,Atq -455,2 - Apr,WO
Jovani Pope,Atq -470,2 - Apr,WO
Kaley Fitzpatrick,Atq -374,2 - Apr,WO
Greta Horton,Atq -369,2 - Apr,WO
Miley Combs,Atq -372,2 - Apr,WO
Dallas Weeks,Atq -437,2 - Apr,WO
Chad Macias,Atq -400,2 - Apr,WO
Jessie Carrillo,Atq -458,2 - Apr,WO
Name,Employee Code,3 - Apr,Sun
Thanos Thakur,Atq -406,3 - Apr,WO
Jarvis Singh,Atq -462,3 - Apr,WO
Nevaeh Waller,Atq -411,3 - Apr,WO
Bo Cordova,Atq -398,3 - Apr,WO
Mekhi Singleton,Atq -438,3 - Apr,WO
Peter Pandey,Atq -366,3 - Apr,WO
Loki Lal,Atq -441,3 - Apr,WO
Phoenix Brady,Atq -436,3 - Apr,WO
Ana Little,Atq -404,3 - Apr,WO
Grace Stone,Atq -397,3 - Apr,WO
Tori Shannon,Atq -335,3 - Apr,WO
Lyric Bartlett,Atq -443,3 - Apr,WO
